1girl,女の子
muscular female,メフレックス
pout,「ぷー」とふくらんで
dragon,ドラゴン
sailor shirt,セーラーシャツ
fur collar,毛皮の襟
snowing,降雪
hat flower,帽花
breasts squeezed together,寄せ乳
character doll,ぬいぐるみ化
legs together,一緒に足
asymmetrical hair,非対称の髪
impossible clothes,乳袋
brown shirt,茶色のシャツ
nipple stimulation,乳首責め
hand on own cheek,頬に手
rock,岩
artist logo,艺术家标志
frilled shirt,フリルシャツ
object insertion,异物插入
garter belt,ガーターベルト
ghost,おばけ
very short hair,ベリーショート
reaching towards viewer,手を差し伸べる
black sclera,黒白目
weibo watermark,Weiboロゴ
tiles,タイル
half up braid,三つ編みハーフアップ
aged up,30ライブ!
green ribbon,グリーンリボン
hand between own legs,脚の間の手
crown braid,クラウンブレイド
sand,すな
thighband pantyhose,ランガード
smirk,得意的笑
popsicle,アイスキャンディー
bishounen,女性向け
stairs,階段
shoulder cutout,カットアウェイショルダー
two-sided fabric,裏地
teddy bear,テディベア
butterfly hair ornament,蝶の髪の飾り
purple ribbon,紫色のリボン
female masturbation,手マンオナニー
nontraditional miko,ミニスカ巫女
paw pose,猫ポーズ
unworn hat,没戴的帽子
pinafore dress,ピナフォア
off-shoulder shirt,オフショルダー
naughty face,ニヤニヤ
adjusting clothes,食い込み直し
huge ass,特盛り下半身
red vest,赤いベスト
sign,看板
ice,氷
panties under pantyhose,タイツ越しのパンツ
card (medium),カード風
crystal,鉱物
black sweater,黒いセーター
strawberry,いちご
sheathed,帯刀
mouse ears,ねずみみ
on ground,地面に
looking away,目をそらしている
backless outfit,ぱっくり背中
spoon,スプーン
blood on clothes,服の血
fork,フォーク
interracial,異人種間
beanie,ビーニー
handbag,手提包
body fur,ボディーファー
white fur,白い毛皮
eyebrows hidden by hair,髪に隠された眉
spaghetti strap,スパゲッティストラップ
skull,スカル
city,都会
single bare shoulder,単一の裸の肩
pasties,ニプレス
ice cream,アイス
drink,飲み物
striped bikini,縞ビキニ
motion blur,モーションブラー
smug,どや顔
brown pants,茶色のズボン
upside-down,逆さ吊り
water drop,水滴
sharp fingernails,鋭い爪
= =,コメくいてー顔
arm under breasts,托胸
on couch,ソファの上
hands in pockets,ポケットに手
nurse cap,ナースキャップ
smoking,くわえタバコ
symbol in eye,目のシンボル
arm warmers,アームウォーマー
bandana,バンダナ
nun,シスター
style parody,野生の公式
brown thighhighs,茶色の太もも
sarashi,さらし
sitting on person,坐在别人身上
two-tone dress,双色连衣裙
railing,手すり
alternate color,色違い
rigging,舰装
black one-piece swimsuit,黒いワンピース水着
borrowed character,描いてみた
criss-cross halter,クロスホルターネック
jacket on shoulders,肩掛けジャケット
chopsticks,筷子
fighting stance,ファイティングポーズ
chocolate,チョコレート
white capelet,白いカペレット
holding polearm,手握长柄武器
front-tie bikini top,前系比基尼上装
sportswear,スポーツウェア
tabard,タバード
straw hat,麦わら帽子
light rays,可见光
other focus,その他の焦点
;),;）
print kimono,着物を印刷します
white scarf,白いスカーフ
minigirl,小人
panties aside,股布ずらし
v arms,だっちゅーの
animal hood,アニマルパーカー
hair tie,髪留め
star-shaped pupils,目が星
branch,枝
contemporary,現パロ
blue panties,青パンツ
hugging object,抱える
ear ornament,耳饰
covering own mouth,口隠し
shiny clothes,光沢のある服
ofuda,お札
realistic,リアル絵
outstretched hand,张手
pleated dress,竖皱连衣裙
overalls,オーバーオール
white one-piece swimsuit,白スク
military hat,軍帽
creature,クリーチャー
android,アンドロイド
jumping,ジャンプ
holding bottle,手持瓶子
mountain,山
sample watermark,サンプルの透かし
grey dress,灰色连衣裙
breast pocket,胸ポケット
fence,フェンス
apple,りんご
nose,はな
yukata,浴衣ウマ娘
palm tree,ヤシの木
grabbing from behind,背後から胸揉み
chibi inset,Q版插入
holding fan,手持扇子
camera,カメラ
hand on another's face,他の人の顔に手をかけます
holding microphone,手持麦克风
selfie,自分撮り
vibrator,ローター
blue hairband,青いヘアバンド
blue leotard,青バニー
hime cut,姫カット
new year,お正月
cross-laced clothes,交叉系带服饰
antlers,鹿の角
long pointy ears,エルフ耳
purple jacket,紫色のジャケット
floral background,花の背景
snake,ヘビ
dildo,ディルド
potted plant,鉢植え
tail ornament,尾飾り
hair over eyes,両目隠れ
gag,口塞
pixel art,ドット絵
food in mouth,口移し
black kimono,黒い着物
adjusting eyewear,眼鏡に手
clitoris,クリトリス
size difference,サイズフェチ
hair bell,ヘアベル
midriff peek,腹チラ
rabbit ear hairband,うさ耳カチューシャ
bow (weapon),弓
spoken question mark,話された質問マーク
bespectacled,メガネプラス
confetti,紙吹雪
goatee,山羊胡
door,ドア
split-color hair,阴阳发
green skin,緑肌
gagged,猿agged
licking lips,舌なめずり
mother and child,母子
full-face blush,フルフェイスブラッシュ
wedding dress,ウェディングドレス
no nose,鼻はありません
grabbing another's ass,尻揉み
clitoral hood,包茎クリトリス
pov crotch,POV股
holding tray,端着托盘
angel,天使
sunflower,ひまわり
covered mouth,覆われた口
gift box,プレゼントボックス
yellow neckerchief,黄色のネッカチーフ
animification,アニメーション
spear,槍
petite,娇小
shota,ショタ
zipper pull tab,ジッパープルタブ
blindfold,目隠し
frilled bow,フリル弓
pink bikini,ピンクビキニ
underwater,水中
absurdly long hair,超ロングヘア
crotch seam,センターシーム
pen,ペン
cum on hair,髪射
purple thighhighs,紫色の太もも
holding instrument,保持器具
bound wrists,手かせ
anklet,アンクレット
valentine,バレンタインデー
sun,太阳
food-themed hair ornament,食べ物をテーマにした髪の飾り
page number,ページ番号
w,スリーピース
kneepits,ひかがみ
talking,話す
car,スポーツカー
guitar,ギター
balloon,ふうせん
horizon,地平線
hand on own chin,顎に手
wrist scrunchie,发圈手饰
name tag,ネームプレート
black hoodie,黒いパーカー
head out of frame,头部出框
vision (genshin impact),神の目
gyaru,ギャル
3d,3Dモデル
scales,うろこ
o o,〇目
multiple others,他の複数
joints,関節
food on face,顔に食べ物
cable,ケーブル
wristwatch,腕時計
suspender skirt,吊りスカート
highleg panties,ハイレグパンツ
butt crack,半ケツ
antennae,ヽノ
blue gem,サファイア
wand,魔法の杖
gakuran,学らん
forehead jewel,額の宝石
orange bow,オレンジ色の弓
duel monster,遊戯王ファンアート
+++,+++
top-down bottom-up,突き出し
half gloves,ハーフグローブ
sleeve cuffs,袖口
newsboy cap,キャスケット
open cardigan,カーディガンを開きます
red thighhighs,赤い太もも
blue cape,ブルーケープ
bloomers,ドロワーズ
bandeau,バンドゥ
spread arms,手を広げる
bikini under clothes,服の下に水着
covering breasts,手ブラ
white choker,ホワイトチョーカー
print shirt,印花衬衫
silent comic,サイレント漫画
purple gloves,紫手套
white cape,白いケープ
claw pose,がおー
ahegao,アヘ顔
mask on head,頭にマスク
dakimakura (medium),抱き枕
toeless legwear,露趾袜
checkered clothes,方格衣服
hair stick,发簪
id card,学生証
haori,羽织
saliva trail,唾液ブリッジ
bookshelf,本棚
cow print,牛柄
fish tail,尾ひれ
blue vest,青いベスト
folding fan,折扇
hanging breasts,垂れ乳
blanket,毛布
lactation,ロリ母乳
abyssal ship,深海棲艦
adjusting hair,调整侧发
white ascot,白いアスコット
pink bowtie,ピンクのボウタイ
microskirt,マイクロミニスカート
partially visible vulva,大陰唇
white eyes,白眼
oekaki,お絵描き
black tank top,黒いタンクトップ
candle,ロウソク
red kimono,赤い着物
multicolored jacket,多色のジャケット
headpiece,头饰
tube top,チューブトップ
electricity,電気
panties around one leg,片足パンツ
mecha pilot suit,パイロットスーツ
clock,時計
open fly,解开链扣
cow ears,牛耳
covered eyes,覆われた目
underbust,コルセット
eighth note,8分音符
tress ribbon,トレスリボン
uniform,制服
bush,茂み
poke ball (basic),モンスターボール
winter clothes,冬服
curled horns,カールした角
raised inner eyebrows,八の字眉
blue neckerchief,青いネッカチーフ
center opening,天使の小窓
pink bra,ピンクブラ
on head,頭に
3koma,3コマ
company name,会社名
highleg one-piece swimsuit,ハイレグワンピース
japanese armor,鎧兜
white wrist cuffs,白い手首の袖口
feather hair ornament,羽根飾り
film grain,粒状フィルム
long legs,美脚
colored tips,彩色发梢
diamond (shape),ダイヤ
drinking,飲む
white belt,白いベルト
holding bouquet,花束を保持します
red horns,赤い角
black tail,黒い尾
yellow dress,黄色连衣裙
basket,バスケット(かご)
toned male,細マッチョ
undershirt,汗衫
limited palette,カラーパレット
white tank top,白いタンクトップ
folded ponytail,折りたたみポニテ
bodystocking,全身タイツ
classroom,教室
leaning back,のけぞる
yokozuwari,横座り
pool,プール
| |,| |
brown coat,茶色のコート
mini crown,ミニクラウン
controller,コントローラ
patreon logo,パトレオンのロゴ
hands on own face,自分の顔の手
heart censor,爱心打码
petticoat,ペチコート
surrounded by penises,チンコ包囲網
fairy wings,妖精の翼
after vaginal,阴道性交之后
red ascot,赤いアスコット
shoulder tattoo,肩のタトゥー
disposable cup,紙コップ
looking afar,遠くを探しています
blue thighhighs,青い太もも
glass,ガラス
arrow (projectile),矢
blue rose,青い薔薇
white collar,ホワイトカラー
orgasm,仰け反り絶頂
fishnet thighhighs,網ニーソ
eyeball,目玉
aircraft,航空機
open hand,パー
scar on cheek,頬の傷
black border,黒い境界線
tight clothes,ぱっつんぱっつん
hand on headwear,帽子に手
holding animal,動物を保持します
harness,ボディハーネス
tiger ears,トラ耳
red choker,レッドチョーカー
torn thighhighs,破洞丝袜
cow horns,牛の角
tabi,サイハイソックス足袋
school desk,课桌
red coat,赤いコート
white hoodie,白いパーカー
grabbing own breast,セルフ乳揉み
nervous sweating,冷や汗
armored boots,装甲ブーツ
gangbang,輪フェラ
halloween costume,仮装
ankle boots,アンクルブーツ
onsen,温泉
fur-trimmed coat,毛皮のトリミングされたコート
arched back,仰け反り
invisible chair,空気椅子
partially unbuttoned,半开衬衫
cheerleader,チアリーダー
holding stuffed toy,ぬいぐるみのおもちゃを持っています
arm strap,アームストラップ
witch,魔女っ子
pom pom (cheerleading),ポンポン
retro artstyle,おっさんホイホイ
mechanical arms,メカ腕
striped necktie,条纹领带
bun cover,パンカバー
futa with female,ふた×女
black capelet,黒いカペレット
squiggle,ぐにゃぐにゃ
leg warmers,レッグウォーマー
headpat,なでなで
space,宇宙
animal nose,動物の鼻
collared jacket,襟付きジャケット
light frown,軽い眉をひそめ
hanfu,ハンフー
vambraces,ヴァンブレイス
multicolored skin,多色の肌
leggings,レギンス
hand on own head,頭に手
asymmetrical gloves,不对称手套
holding poke ball,ポークボールを持っています
shared bathing,共有入浴
road,道路
bow hairband,弓ヘアバンド
cityscape,都市
tile floor,タイルフロア
