hatsune miku,初音ミク
nakano yotsuba,中野四葉
mayano top gun (umamusume),マヤノトップガン(ウマ娘)
unicorn (azur lane),ユニコーン(アズールレーン)
changli (wuthering waves),チョウリ
shimada arisu,大学選抜チーム
shinonome ena,みずえな
utsugi noriyuki,宇津木徳幸
yamakaze (kancolle),山風(艦隊これくしょん)
i-19 (kancolle),伊19(艦隊これくしょん)
cyrene (philia093) (honkai: star rail),キュレネ(エリュシオン)
nikaido hiro,二階堂ヒロ
bea (pokemon),サイトウ
miyu edelfelt,美遊・エーデルフェルト
lum,ラム・インベーダー
tsunomaki watame,角巻わため
koshimizu sachiko,輿水幸子
blue oak,グリーン(ポケモン)
asuna (school uniform) (blue archive),一之瀬アスナ(制服)
piplup,ポッチャマ
seaport princess,港湾棲姫
kudamaki tsukasa,つかぱい
blade (honkai: star rail),刃(スターレイル)
satonaka chie,里中千枝
mostima (arknights),モスティマ
inkling boy,イカボーイ
gokou ruri,黒猫(俺の妹)
seele vollerei,ゼーレ
akigumo (kancolle),秋雲(艦隊これくしょん)
jinx (league),ジンクス
arima kana,有馬かな
yixuan (zenless zone zero),儀玄
reisa (blue archive),宇沢レイサ
hex maniac (pokemon xy),オカルトマニア(XY)
vodka (umamusume),ウオッカ(ウマ娘)
natsu (blue archive),柚鳥ナツ
sanya v. litvyak,サーニャ・V・リトヴャク
uehara ayumu,ゆうぽむ
weiss schnee,ワイス・シュニー
jeanne d'arc alter (avenger) (fate),JeanneD'Arc Alter（Avenger）（運命）
seiun sky (umamusume),セイウンスカイ(ウマ娘)
kotomine kirei,言峰綺礼
anastasia (idolmaster),アナスタシア
hagiwara yukiho,萩原雪歩
sakurai momoka,櫻井桃華
yoru (chainsaw man),ヨル(チェンソーマン)
maya (kancolle),摩耶(艦隊これくしょん)
yuki setsuna,優木せつ菜
chisa (wuthering waves),千咲
the herta (honkai: star rail),ヘルタ(不可知域)
yoshida yuuko,シャミ子
katyusha (girls und panzer),カチューシャ
eila ilmatar juutilainen,エイラ・イルマタル・ユーティライネン
darkness (konosuba),ダクネス
pecorine (princess connect!),ペコリーヌ
trafalgar law,トラファルガー・ロー
miura azusa,三浦あずさ
lana (pokemon),スイレン(トレーナー)
hibiki (blue archive),猫塚ヒビキ
glaceon,グレイシア
harukawa maki,春川魔姫
kuchiki rukia,朽木ルキア
aisaka taiga,逢坂大河
kicchou yachie,8月7日は八千慧の日
oberon (fate),オベロン(Fate)
elizabeth bathory (fate),エリザベート・バートリー(Fate)
ram (re:zero),ラム(リゼロ)
nian (arknights),ニアン
burnice white,バーニス・ホワイト
mercy (overwatch),マーシー
melusine (fate),妖精騎士ランスロット
mega gardevoir,メガサーナイト
nitocris (fate),ニトクリス(Fate)
barnaby brooks jr.,バーナビー・ブルックスJr.
dizzy (guilty gear),ディズィー
sakura miku,桜ミク
ouro kronii (1st costume),オーロ・クロニー(通常)
yagami hayate,八神はやて
ayanami (azur lane),綾波(アズールレーン)
inui toko,戌亥とこ
oboro (kancolle),朧(艦隊これくしょん)
professor niyaniya (blue archive),ニヤニヤ教授
amber (genshin impact),アンバー
fushiguro megumi,伏黒恵
scaramouche (harbinger) (genshin impact),スカラマシュ
iskandar (fate),ライダー(Fate/Zero)
amy rose,エミー・ローズ
shadow the hedgehog,シャドウ・ザ・ヘッジホッグ
aemeath (wuthering waves),エイメス
kamado nezuko,灶门祢豆子
senjougahara hitagi,戦場ヶ原ひたぎ
i-58 (kancolle),伊58(艦隊これくしょん)
chando (ado),チャンド
endministrator (arknights),管理人(エンドフィールド)
awa subaru,安和すばる
z1 leberecht maass (kancolle),レーベレヒト・マース
peroro (blue archive),ペロロ様
jougasaki rika,城ヶ崎莉嘉
common raccoon (kemono friends),アライグマ(けものフレンズ)
laios touden,ライオストーデン
panty (psg),アナーキー・パンティ
waver velvet,ウェイバー・ベルベット
pyonta,ぴょんたくん
hanako (swimsuit) (blue archive),浦和ハナコ(水着)
atlanta (kancolle),アトランタ(艦隊これくしょん)
kel (faraway) (omori),ケルサニ
kaburagi t. kotetsu,鏑木・T・虎徹
gengar,ゲンガー
saki (blue archive),空井サキ
shigure ui (vtuber),しぐれうい
illustrious (azur lane),イラストリアス
twin turbo (umamusume),ツインターボ(ウマ娘)
princess daisy,デイジー姫
houjou satoko,北条沙都子
kanna kamui,カンナカムイ
ninomae ina'nis (1st costume),一伊那尓栖(通常)
tokitsukaze (kancolle),時津風(艦これ)
taihou (kancolle),大鳳(艦隊これくしょん)
eishin flash (umamusume),エイシンフラッシュ(ウマ娘)
asakura toru,とおまど
zack fair,ザックス・フェア
inoue orihime,井上織姫
frisk (undertale),フリスク
hilbert (pokemon),トウヤ(トレーナー)
lilith (darkstalkers),欲望の迷い子リリス
kirima syaro,シャロ
beatrice (umineko),ベアトリーチェ
z3 max schultz (kancolle),マックス・シュルツ
black swan (honkai: star rail),ブラックスワン
p-head producer,Pヘッド
agnes digital (umamusume),アグネスデジタル(ウマ娘)
gigi murin,ジジ・ムリン
matsuura kanan,火曜日ご機嫌いかが果南
natsuki subaru,ナツキ・スバル
akizuki ritsuko,あきづきりつこ
nanashi mumei (1st costume),七詩ムメイ(通常)
takane lui,鷹嶺ルイ
bulbasaur,フシギダネ
watson amelia (1st costume),ワトソン・アメリア(通常)
shun (blue archive),春原シュン
carmine (pokemon),ゼイユ
jeanne d'arc (ruler) (fate),ジャンヌ・ダルク（支配者）（運命）
luigi,ルイージ
sirius symboli (umamusume),シリウスシンボリ(ウマ娘)
eous (zenless zone zero),イアス
lelouch vi britannia,ルルーシュ・ランペルージ
cinderella (nikke),シンデレラ(勝利の女神:NIKKE)
qiqi (genshin impact),七七
moria luluka,森亜るるか
warspite (kancolle),ウォースパイト(艦隊これくしょん)
yoisaki kanade,かなえな
vegeta,ベジータ
kaname raana,たきらな
nia teppelin,ニア・テッペリン
jungle pocket (umamusume),ジャングルポケット(ウマ娘)
takakura ken (dandadan),高倉健(ダンダダン)
wa2000 (girls' frontline),WA2000(ドールズフロントライン)
reizei mako,あんこうチーム
i-401 (kancolle),伊401(艦隊これくしょん)
higashiyama kobeni,東山コベニ
maekawa miku,前川みく
kiyohime (fate),清姫(Fate)
aoba (kancolle),青葉(艦隊これくしょん)
male byleth (fire emblem),ベレト(FE風花雪月)
skyla (pokemon),フウロ
still in love (umamusume),スティルインラブ(ウマ娘)
sheryl nome,シェリル・ノーム
super creek (umamusume),スーパークリーク(ウマ娘)
kouzuki kallen,カレン・シュタットフェルト
kumano (kancolle),熊野(艦隊これくしょん)
fusou (kancolle),扶桑(艦隊これくしょん)
kuma (kancolle),球磨(艦隊これくしょん)
mika (girls und panzer),ミカ
kaenbyou rin (cat),Kaenbyou Rin（猫）
hayakawa aki,早川アキ
mori calliope (1st costume),森カリオペ(通常)
fennec (kemono friends),フェネック(けものフレンズ)
boko (girls und panzer),ボコられグマ
phoebe (wuthering waves),フィービー
kaeya (genshin impact),ガイア・アルベリヒ
lan wangji,蓝忘机
ceras yanagida lilienfeld,セラス柳田リリエンフェルト
kris (dark world) (deltarune),クリス
hanami ume,アイドルとして最高の肉体
kurosaki ichigo,黑崎一护
lyrica prismriver,リリカ・プリズムリバー
haruka (blue archive),伊草ハルカ
inugami korone (1st costume),戌神ころね(通常)
leaf (pokemon),リーフ(トレーナー)
yukine chris,雪音クリス
astra yao,アストラ・ヤオ
zero (mega man),ゼロ(ロックマン)
gold ship (red strife) (umamusume),レッドストライフ
ashigara (kancolle),足柄(艦隊これくしょん)
hilda valentine goneril,ヒルダ=ヴァレンティン=ゴネリル
n (pokemon),n(トレーナー)
charlotte (madoka magica),シャルロッテ
sunday (honkai: star rail),サンデー(スターレイル)
nekomata okayu (1st costume),猫又おかゆ(通常)
kurosawa dia,黒澤ダイヤ
aigis (persona),アイギス(ペルソナ3)
shiratsuyu (kancolle),白露(艦隊これくしょん)
ike (fire emblem),アイク(ファイアーエムブレム)
mankanshoku mako,満艦飾マコ
merlin prismriver,メルラン・プリズムリバー
takeba yukari,岳羽ゆかり
tsumiki mikan,ミカン
vaporeon,シャワーズ
hoshino (swimsuit) (blue archive),ホシノ(水着)
aria (zenless zone zero),アリア(ゼンゼロ)
sora harewataru,ソラ・ハレワタール
kagerou (kancolle),陽炎(艦隊これくしょん)
uzuki (kancolle),卯月(艦隊これくしょん)
vertin (reverse:1999),ヴェルティ
florian (pokemon),ハルト(ポケモン)
albedo (genshin impact),アルベド
kamijou touma,上嬢さん
tomoe gozen (fate),アーチャー・インフェルノ
satsuki (kancolle),皐月(艦隊これくしょん)
dantsu flame (umamusume),ダンツフレーム(ウマ娘)
mogami (kancolle),最上(艦隊これくしょん)
ukinami yuzuha,浮波柚葉
lyn (fire emblem),リンディス
urakaze (kancolle),浦風(艦隊これくしょん)
izumi sagiri,和泉紗霧
air groove (umamusume),エアグルーヴ(ウマ娘)
sonia (pokemon),ソニア(ポケモン)
tighnari (genshin impact),ティナリ
shihouin yoruichi,四楓院夜一
specter (arknights),スペクター
seia (swimsuit) (blue archive),百合園セイア(水着)
unzan,雲山
neuvillette (genshin impact),ヌヴィレット
mitaka asa,戦争の悪魔
lyra (pokemon),コトネ(トレーナー)
hayami kanade,かなあり
mash kyrielight (dangerous beast),デンジャラス・ビースト
matikanetannhauser (umamusume),マチカネタンホイザ(ウマ娘)
hanekawa tsubasa,羽川翼
monokuma,モノクマ
camilla (fire emblem),カミラ(FEif)
android 18,ラズリ
himari (blue archive),明星ヒマリ
kiyoshimo (kancolle),清霜(艦これ)
laffey (azur lane),ラフィー(アズールレーン)
meisho doto (umamusume),メイショウドトウ(ウマ娘)
hatsuyuki (kancolle),初雪(艦隊これくしょん)
basil (headspace) (omori),バジル
alice thymefield,アリス・タイムフィールド
grass wonder (umamusume),グラスワンダー(ウマ娘)
shiori novella (1st costume),シオリ・ノヴェラ(通常)
rapi (nikke),ラピ(NIKKE)
katsushika hokusai (fate),お栄
jintsuu (kancolle),神通(艦隊これくしょん)
nangong yu,南宮羽
takamaki ann,たかまき
yuutenji nyamu,祐天寺にゃむ
futami mami,双海真美
cecilia immergreen,セシリア・イマーグリーン
isekaijoucho,ヰ世界情緒
espeon,エーフィ
heathcliff (project moon),ヒースクリフ
yang xiao long,ヤン・シャオロン
emiya kiritsugu,衛宮切嗣
hyuuga (kancolle),日向(艦隊これくしょん)
shiomi kotone,ハム子
tachibana kanade,立華かなで
saratoga (kancolle),サラトガ
midorikawa nao,緑川なお
kanroji mitsuri,甘露寺蜜璃
dodoco (genshin impact),ドドコ
chitanda eru,千反田える
ame-chan (needy girl overdose),あめちゃん
mimikyu,ミミッキュ
akai haato,赤井はあと
mizuno ami,水野亜美
mr. c.b. (umamusume),ミスターシービー(ウマ娘)
kujikawa rise,久慈川りせ
kirlia,キルリア
hatsuzuki (kancolle),初月(艦これ)
todoroki shoto,轟焦凍
dante (devil may cry),ダンテ
raphtalia,ラフタリア
kise yayoi,黄瀬やよい
miyafuji yoshika,宮藤芳佳
female robin (fire emblem),ルフレ♀
kousaka kirino,高坂桐乃
michishio (kancolle),満潮(艦隊これくしょん)
kurosawa ruby,黒澤ルビィ
shiina yuika,しいなーと
haro,ハロ
high priest (ragnarok online),ハイプリースト
isokaze (kancolle),磯風(艦隊これくしょん)
yahagi (kancolle),矢矧(艦隊これくしょん)
ju fufu,チーフーフー
kaga (azur lane),加賀(アズールレーン)
yuffie kisaragi,ユフィ・キサラギ
stark (sousou no frieren),シュタルク
mortis (bang dream!),モーティス
saten ruiko,さてんるいこ
sendai kai ni (kancolle),川内改二
lusamine (pokemon),ルザミーネ
barghest (fate),妖精騎士ガウェイン
osaka shizuku,桜坂しずく
johnny joestar,ジョニィ・ジョースター
haruna (blue archive),ハルナ
orfevre (umamusume),オルフェーヴル(ウマ娘)
accelerator (toaru majutsu no index),アクセラレータ
zundamon,ずんだもん
tippy (gochiusa),ティッピー
ump9 (girls' frontline),UMP9(ドールズフロントライン)
non-human admiral (kancolle),非人間提督（カンコル）
kunikida hanamaru,よしまる普及委員会
shinjou akane,新条アカネ
ohtsuki yui,大槻唯
harusame (kancolle),春雨(艦これ)
dante (limbus company),ダンテ
unryuu (kancolle),雲龍(艦隊これくしょん)
sessyoin kiara,殺生院キアラ
skadi the corrupting heart (arknights),濁心スカジ
takasaki yu,ゆうぽむ
geto suguru,夏油傑
akuma homura,悪魔ほむら
makinami mari illustrious,真希波・マリ・イラストリアス
enterprise (azur lane),エンタープライズ(アズールレーン)
clorinde (genshin impact),クロリンデ
hoshimachi suisei (1st costume),星街すいせい(通常)
jeanne d'arc alter (swimsuit berserker) (fate),水着ジャンヌオルタ
lysithea von ordelia,リシテア
nakayama festa (umamusume),ナカヤマフェスタ(ウマ娘)
commander (nikke),指揮官(勝利の女神:NIKKE)
kasumi kai ni (kancolle),霞改二
erica hartmann,エーリカ・ハルトマン
fukumaru koito,福丸小糸
tamamo cat (fate),タマモキャット
akagi miria,赤城みりあ
toutetsu yuuma,可憐な剛欲同盟長
momo (nikki),モモ
himemori luna,姫森ルーナ
hachimiya meguru,八宮めぐる
sakata gintoki,坂田銀時
chara (undertale),キャラ
komano aunn,高麗野あうん
sprigatito,ニャオハ
takao (azur lane),高雄(アズールレーン)
9s (nier:automata),ヨルハ九号S型
magical mirai miku,魔法のミライ・ミク
gran (granblue fantasy),グラン
sakura futaba,佐倉双葉
morpeko,モルペコ
natori sana,名取さな
spider-man,スパイダーマン
narita brian (umamusume),ナリタブライアン(ウマ娘)
brendan (pokemon),ユウキ(トレーナー)
nero claudius (fate/extra),薔薇の舞踏服
kotonoha akane,琴葉茜
hanamura yousuke,花村陽介
mari (track) (blue archive),伊落マリー(体操服)
