original,オリジナル
street fighter iii (series),ストリートファイターIII
tales of graces,テイルズ・オブ・グレイセス
maplestory,メイプルストーリー
aoki hagane no arpeggio,蒼き鋼のアルペジオ
xenosaga,ゼノサーガ
koihime musou,モバ恋姫
dr. stone,ドクターストーン
mother 2,MOTHER2_ギーグの逆襲
nu carnival,NUカーニバル
metaphor: refantazio,メタファー:リファンタジオ
phantom of the kill,ファントムオブキル
beatmania iidx,ビートマニア
goodsmile company,グッドスマイルカンパニー
mario kart,マリオカート
yotsubato!,よつばと!
fate/extella,フェイト/エクステラ
hypnosis mic,ヒプノシスマイク
pokemon go,ポケモンGO
the legend of zelda: the wind waker,風のタクト
gyee,サンクタス戦記
the ring,リング
little nuns (diva),リトルナン（歌姫）
resident evil 4 (remake),バイオハザードRE:4
uchi no hime-sama ga ichiban kawaii,ウチの姫さまがいちばんカワイイ
bombergirl,ボンバーガール
call of duty: modern warfare 2,コールオブデューティモダン・ウォーフェア2
pangya,パンヤ
aldnoah.zero,アルドノア・ゼロ
tears of themis,未定事件簿
nier,ニーアゲシュタルト
world flipper,ワールドフリッパー
grisaia (series),グリザイアシリーズ
armored core,アーマードコア
pokemon: let's go pikachu! and let's go eevee!,ピカブイ
shironeko project,白猫プロジェクト
hataraku saibou,はたらく細胞
nintendo,にんてんどう
powerpuff girls,パワーパフガールズ
saki achiga-hen,阿知賀編
dragalia lost,ドラガリアロスト
kizuna ai inc.,キズナアイ
suzumiya haruhi no shoushitsu,涼宮ハルヒの消失
snk,snk
kanojo okarishimasu,彼女、お借りします
guilty gear xx,ギルティギアイグゼクス
warioware,メイドインワリオ
tokimeki memorial,ときめきメモリアル
ongeki,オンゲキ
resident evil requiem,バイオハザードレクイエム
transformers: generation 1,戦え!超ロボット生命体トランスフォーマー
sen no kiseki i,閃の軌跡
lupin iii,ルパン三世
lord el-melloi ii case files,ロード・エルメロイII世の事件簿
dagashi kashi,だがしかし
project tokyo dolls,プロジェクト東京ドールズ
jashin-chan dropkick,邪神ちゃんドロップキック
goodsmile racing,グッドスマイルレーシング
tobaku mokushiroku kaiji,カイジ
shoujo shuumatsu ryokou,少女終末旅行
monster hunter rise,モンスターハンターライズ
gnosia,グノーシア
world cup,ワールドカップ
kingdom hearts ii,キングダムハーツ2
healin' good precure,ヒーリングっど♥プリキュア
persona 3 reload,ペルソナ3リロード
shin jigen game neptune vii,新次元ゲイムネプテューヌVII
gabriel dropout,ガヴリールドロップアウト
riddle joker,リドルジョーカー
sanoba witch,サノバウィッチ
nekopara,ネコぱら
octopath traveler,オクトパストラベラー
epic seven,エピックセブン
summon night,サモンナイト
heaven official's blessing,天官赐福
kyoukaisenjou no horizon,境界線上のホライゾン
inazuma eleven go chrono stone,イナズマイレブンGOクロノ・ストーン
tokyo 7th sisters,Tokyo7thシスターズ
g gundam,機動武闘伝Gガンダム
south park,サウスパーク
choujigen game neptune,超次元ゲイムネプテューヌ
love live! school idol festival all stars,ラブライブ!スクールアイドルフェスティバルALLSTARS
nyantype,娘TYPE
toaru majutsu no index: new testament,新約とある魔術の禁書目録
kamiina botan yoeru sugata wa yuri no hana,上伊那ぼたん、酔へる姿は百合の花
fortnite,フォートナイト
fate/prototype: fragments of blue and silver,Fate/Prototype蒼銀のフラグメンツ
jikkyou powerful pro yakyuu,実況パワフルプロ野球
ruri no houseki,瑠璃の宝石
kannagi,かんなぎ
senjou no valkyria (series),戦場のヴァルキュリア
doukyuusei (series),同級生
rewrite,リライト
shoujo kakumei utena,少女革命ウテナ
chrono trigger,クロノトリガー
tales of berseria,テイルズオブベルセリア
mesmerizer (vocaloid),メズマライザー
monster strike,モンスターストライク
cardfight!! vanguard,カードファイト!!ヴァンガード
slayers,スレイヤーズ
star fox,スターフォックス
one piece card game,ONEPIECEカードゲーム
katekyo hitman reborn!,家庭教師ヒットマンREBORN!
wixoss,ウィクロス
final fantasy xiii,ファイナルファンタジーxiii
katawa shoujo,かたわ少女
yuuki yuuna wa yuusha de aru,結城友奈は勇者である
dragon quest x,ドラゴンクエスト10
comiket 105,コミケ105
quiz magic academy,クイズマジックアカデミー
miracle nikki,ミラクルニキ
tamako market,たまこまーけっと
devil may cry 5,デビルメイクライ5
fantastic four,ファンタスティック・フォー
liz to aoi tori,リズと青い鳥
pokemon the series: ruby and sapphire,アドバンスジェネレーション
elden ring: shadow of the erdtree,黄金樹の影
comiket 107,コミケ107
signalis,シグナーリス
tongari boushi no atelier,とんがり帽子のアトリエ
black souls,黒い魂
yama no susume,ヤマノススメ
hades (series),ハデス（ゲーム）
comiket 106,コミケ106
nige jouzu no wakagimi,逃げ上手の若君
youtube,ユーチューブ
the legend of zelda: a link between worlds,神々のトライフォース2
sd gundam,SDガンダム
to heart,トゥハート
the coffin of andy and leyley,アンディとレイレイの棺
haiyore! nyaruko-san,這いよれ!ニャル子さん
high school fleet,はいふり
sword art online: code register,コード・レジスタ
mahou shoujo ikusei keikaku,まほいく
serial experiments lain,シリアルエクスペリメンツレイン
the legend of korra,ザ・レジェンド・オブ・コーラ
shoujo kageki revue starlight -re live-,スタリラ
hikaru ga shinda natsu,光が死んだ夏
yuyushiki,ゆゆ式
metal slug,メタルスラッグ
toranoana,コミックとらのあな
paper mario (series),ペーパーマリオ
eureka seven (series),エウレカセブン
no game no life,ノーゲーム・ノーライフ
kuroshitsuji,黒執事ファンアート
pani poni dash!,ぱにぽに
donkey kong (series),ドンキーコングシリーズ
osomatsu-kun,おそ松くん
medalist (manga),メダリスト(漫画)
kuro no kiseki i,黎の軌跡
tenshi souzou re-boot!,天使騒々
super robot wars original generation,スーパーロボット大戦OG
eve online,イブオンライン
9-nine-,9-nine-ここのつここのかここのいろ
tera online,Tera Online
kimi no na wa.,君の名は。
evillious nendaiki,エヴィリオス
gundam wing,ガンダムW
youkoso jitsuryoku shijou shugi no kyoushitsu e,ようこそ実力至上主義の教室へ
makai senki disgaea,魔界戦記ディスガイア
cowboy bebop,カウボーイビバップ
dog days,ドッグデイズ
final fantasy xii,ファイナルファンタジーxii
aikatsu stars!,アイカツスターズ!
7th dragon (series),セブンスドラゴン
the great ace attorney,大逆転裁判
the moon studio,ピンキー・ポップ・ヘップバーン
senran kagura shinovi versus,少女達の証明
starbucks,スターバックス
shugo chara!,しゅごキャラ!
gundam seed freedom,機動戦士ガンダムSEEDFREEDOM
the elder scrolls,上古捲軸
mother 3,マザー3
shining (series),シャイニングシリーズ
spider-man: into the spider-verse,スパイダーマン:スパイダーバース
comiket 104,コミケ104
toshi densetsu kaitai center,都市伝説解体センター
eddsworld,エッズワールド
arcana heart,アルカナハート
capcom,カプコン
zero no kiseki,零の軌跡
cafe stella to shinigami no chou,喫茶ステラと死神の蝶
ryuuko no ken,龍虎の拳
ar tonelico,アルトネリコ
d4dj,グルミク
star ocean: the second story,スターオーシャン2
futsuu no keion-bu,ふつうの軽音部
kouyoku senki exs-tia concert,光翼戦姫エクスティアコンチェルト
youjo senki,幼女战记
the legend of zelda: majora's mask,ムジュラの仮面
kami nomi zo shiru sekai,神のみぞ知るセカイ
ssss.dynazenon,ダイナゼノン
valorant,ヴァロラント
mahou shoujo lyrical nanoha vivid,魔法少女リリカルなのはVivid
.hack//,ドットハック
scott pilgrim takes off,スコット・ピルグリムテイクス・オフ
manatsu no yo no inmu,真夏の夜の淫夢
resident evil 2,バイオハザード2
roblox,ロブロックス
ben 10,ベン10
eureka seven,交響詩篇エウレカセブン
doukyuusei another world,同級生~AnotherWorld~
spider-man: across the spider-verse,スパイダーマン:アクロス・ザ・スパイダーバース
da capo,ダ・カーポ
sen no kiseki iii,閃の軌跡III
soulworker,ソウルワーカー
blend s,ブレンド・S
gundam: hathaway's flash,閃光のハサウェイ
the king of fighters xv,ファイターズXVの王
comiket 103,コミケ103
gundam build divers,ガンダムビルドダイバーズ
douluo dalu,斗罗大陆
nagi no asukara,凪のあすから
dragon quest ii,ドラゴンクエスト2
kourin tenshi en ciel rena,光臨天使エンシェル・レナ
ark order,アークオーダー
five nights at freddy's,ファイブナイツアットフレディーズ
mahou senshi (series),魔法戦士シリーズ
dead or alive 5,デッドオアアライブ5
miside,ミサイド
monster hunter: world,モンスターハンター:ワールド
shuuniichido classmate wo kau hanashi,週に一度クラスメイトを買う話
bishoujo senshi sailor moon stars,美少女戦士セーラームーンセーラースターズ
shirobako,シロバコ
assassin's creed (series),アサシンクリード
ta ga tame no alchemist,誰ガ為のアルケミスト
princess principal,プリンセス・プリンシパル
azur lane: slow ahead,びそくぜんしんっ!
vividred operation,ビビッドレッド・オペレーション
monitoring (vocaloid),モニタリング
gekkan shoujo nozaki-kun,月刊少女野崎くん
overwatch 2,オーバーウォッチ2
azure striker gunvolt,蒼き雷霆ガンヴォルト
puyopuyo 20th anniversary,ぷよぷよ20th
street fighter ii (series),ストリートファイターII
getsuyoubi no tawawa,月曜日のたわわ
stellar blade,ステラブレイド
kino no tabi,キノの旅
strike witches: suomus misfits squadron,ストライクウィッチーズ
z/x,未来エターナルアーク
my-otome,舞-乙HiME
girls und panzer senshadou daisakusen!,ガールズ&パンツァー戦車道大作戦!
xenogears,ゼノギアス
gravity falls,怪奇ゾーングラビティフォールズ
nanatsu no taizai,七つの大罪
sekaiju no meikyuu 3,世界樹の迷宮3
dragon ball super broly,ドラゴンボール超ブロリー
pretty rhythm,プリティーリズム
marvel vs. capcom,マーヴルVSカプコン
mega man zx advent,ロックマンZXA
resident evil 3: nemesis,バイオハザード3
dragon quest viii,ドラゴンクエスト8
drag-on dragoon,ドラッグオンドラグーン
nijisanji kr,にじさんじKR
non non biyori,のんのんびより
majo no takkyuubin,魔女の宅急便
kfc,ケンタッキーフライドチキン
aa megami-sama,ああっ女神さまっ
ichigo mashimaro,苺ましまろ
taimanin asagi,対魔忍アサギ
spongebob squarepants (series),スポンジ・ボブ
comiket 102,コミケ102
invincible (series),インビンシブル
helios rising heroes,エリオスR
yu yu hakusho,幽白
fate/grand order arcade,運命/グランドオーダーアーケード
